Product Name,Price,Link
Hp EliteBook 840 G5 TOUCHSCREEN Core I7-16GB RAM/1TB SSD/Backlit Keyboard/FP Reader WIN 11 Pro+BAG,"₦ 755,000",https://www.jumia.com.ng/hp-elitebook-840-g5-touchscreen-core-i7-16gb-ram1tb-ssdbacklit-keyboardfp-reader-win-11-probag-260416723.html
"Multifunctional Laptop Foldable Table ,Bed Side Table","₦ 13,500",https://www.jumia.com.ng/generic-multifunctional-laptop-foldable-table-bed-side-table-401421958.html
Hp EliteBook 840 G5 Intel Core I7-32GB RAM/1TB SSD/Backlit Keyboard/FP Reader WIN 11 Pro+BAG,"₦ 750,000",https://www.jumia.com.ng/hp-elitebook-840-g5-intel-core-i7-32gb-ram1tb-ssdbacklit-keyboardfp-reader-win-11-probag-277028294.html
Hp EliteBook 840 G6 Intel Core I5  Touchscreen 8GB RAM/512GB SSD Win 11 Pro,"₦ 529,000",https://www.jumia.com.ng/elitebook-840-g6-intel-core-i5-16gb-ram512gb-ssdbacklit-keyboardfp-reader-windows-11-pro-bag-hp-mpg4091619.html
Wooden Beside Laptop Desk Bamboo Adjustable Laptop Table,"₦ 22,999",https://www.jumia.com.ng/wooden-beside-laptop-desk-bamboo-adjustable-laptop-table-generic-mpg8669528.html
"DELL Latitude 7490 Intel Core I5, Keyboard Backlit, 8GB RAM, 256GB SSD Windows 11","₦ 380,000",https://www.jumia.com.ng/latitude-3160-touchscreen-intel-celeron-128gb-ssd-4gb-ram-wins-10-keyboard-flash-light-dell-mpg3400513.html
DELL Latitude 5400 TOUCHSCREEN Intel Core I7- 1TB SSD/16GB RAM BACKLIGHT KEYBOARD/WIN 11 PRO+BAG,"₦ 515,000",https://www.jumia.com.ng/dell-latitude-5400-touchscreen-intel-core-i7-1tb-ssd16gb-ram-backlight-keyboardwin-11-probag-304345304.html
Ace Elec 14.1'' Intel Celeron J4105 4Core CPU 16GB+256GB - Silver,"₦ 215,317",https://www.jumia.com.ng/ace-elec-14.1-intel-celeron-j4105-4core-cpu-16gb256gb-silver-400975977.html
Hp Notebook 11 Pro G5 TOUCHSCREEN-512GB SSD 4GB RAM- Intel Celeron - Windows 10 Pro + Bag,"₦ 250,000",https://www.jumia.com.ng/hp-notebook-11-pro-g5-touchscreen-512gb-ssd-4gb-ram-intel-celeron-windows-10-pro-bag-253528618.html
Multifunctional Foldable  Laptop Table,"₦ 37,500",https://www.jumia.com.ng/generic-multifunctional-foldable-laptop-table-257964863.html
Hp ProBook 11 X360- Intel CELERON LAPTOPS - 128GB SSD-TOUCHSCREEN 4GB RAM Windows10 Pro + Laptop Pouch,"₦ 210,000",https://www.jumia.com.ng/probook-11-x360-intel-celeron-laptops-128gb-ssd-touchscreen-4gb-ram-windows10-pro-laptop-pouch-hp-mpg9600906.html
Hp EliteBook 840 G6 Intel Core I5-16GB RAM/1TB SSD/Backlit Keyboard/FP Reader Windows 11 Pro+ BAG,"₦ 560,000",https://www.jumia.com.ng/hp-elitebook-840-g6-intel-core-i5-16gb-ram1tb-ssdbacklit-keyboardfp-reader-windows-11-pro-bag-272807227.html
Hp Stream11intel Celeron D/C 64GB HDD+4GB RAM+Win10 Pro,"₦ 134,500",https://www.jumia.com.ng/hp-stream11intel-celeron-dc-64gb-hdd4gb-ramwin10-pro-364956950.html
"Hp CHROMEBOOK  INTEL CELERON ,4GB RAM,16GB WINDOWS 10","₦ 140,000",https://www.jumia.com.ng/hp-chromebook-intel-celeron-4gb-ram16gb-windows-10-150570852.html
Portable Aluminum 7~15.4 Inch Laptop Stand Also For Tablet,"₦ 13,500",https://www.jumia.com.ng/generic-portable-aluminum-715.4-inch-laptop-stand-also-for-tablet-150474615.html
Hp EliteBook 840 G5 Intel Core I5-16GB RAM-256GB SSD-Backlit Keyboard 11 Pro+BAG,"₦ 475,000",https://www.jumia.com.ng/hp-elitebook-840-g5-intel-core-i5-16gb-ram-256gb-ssd-backlit-keyboard-11-probag-260415631.html
